id,codalu,"Código
Curso","N° Total de
Repeticiones"
1,20152704E,CF221,2
1,20172761D,CM141,2
1,20114535E,CC541,2
1,20171613A,CQ111,2
1,20010332K,CQ332,2
1,20142704B,CC102,2
1,20161486G,CC101,2
1,20161486G,CM131,2
1,20147510A,IF482,2
1,20142708H,CC102,2
1,19784121B,CC101,2
1,20150259D,CC102,2
1,20111333B,CF401,2
1,20111333B,IF271,2
1,20171571G,CM141,2
1,20162195F,CF122,2
1,19900702B,CM577,2
1,20122688A,IF563,2
1,20172752E,CF121,2
1,20170631F,CF121,2
1,20170587G,CC101,2
1,20171608H,CF121,2
1,20132640A,CF581,2
1,20131475G,IF321,2
1,20131495H,CF581,2
1,20151480F,CC212,2
1,20171413B,CF121,2
1,20010208H,CF222,2
1,20142734I,CM254,2
1,20142709D,CM214,2
1,20152716C,CF222,2
1,20112161K,CF221,2
1,20142645F,CF222,2
1,20142645F,CM214,2
1,20131479B,CC201,2
1,20100411G,CF221,2
1,20100411G,CQ252,2
1,20150539G,CM211,2
1,20150539G,CQ251,2
1,20171616K,CQ111,2
1,20152720K,CF221,2
1,20161440G,CC102,2
1,20140382H,CM321,2
1,20140382H,CM361,2
1,20141475J,FI403,2
1,20164059B,FS145,2
1,20142735E,FS145,2
1,20150355C,AA231,2
1,20151467J,AA223,2
1,20151467J,AA232,2
1,20170533D,AA217,2
1,20170533D,AA222,2
1,20170533D,AA223,2
1,20170533D,AA226,2
1,19991348B,AA217,9
1,19991348B,EC115,2
1,19991348B,FI403,2
1,19991348B,SA323,2
1,20150408J,SA333,2
1,20152173J,HH221,2
1,20101238G,AA231,2
1,20101238G,FI403,2
1,20101238G,PI111,2
1,20127035F,MA143,2
1,20131406E,EC122,2
1,20131406E,HH223,2
1,20120019E,EP305,2
1,20162205A,AA231,2
1,20150196B,EP305,2
1,20131210C,SA332,2
1,20135505H,BO112,2
1,20132662E,FI403,2
1,20102125A,GA163,2
1,20160575F,AA212,2
1,20170044C,AA211,2
1,20074041G,SA515,2
1,20160514G,FI403,2
1,20041272J,EE344,2
1,20041272J,MA085,2
1,20101250G,AS141,2
1,20101250G,EP305,2
1,19961158K,SA115,12
1,20151383K,HH221,2
1,20151383K,SA332,2
1,20174134G,AA211,2
1,20174134G,AA212,2
1,20160727K,AA226,2
1,20161430A,AA224,2
1,20150359I,SA332,2
1,20154547D,AA231,2
1,20132061A,HH221,2
1,20122629E,XP100,1
1,20122629E,XP100,1
1,20130415K,AA232,2
1,20132688D,SA115,2
1,20172213G,BO112,2
1,20170632B,AA212,2
1,20160300G,AA233,2
1,20111279H,HH501,2
1,20111279H,MA143,2
1,20111279H,SP110,2
1,20123502I,SA216,2
1,20170464B,AA223,2
1,20160582B,AA224,2
1,20090370A,AHD93,2
1,20090370A,SA654,2
1,20090370A,SA746,2
1,20110262D,EC717,2
1,20142680F,AS121,2
1,20142680F,BO112,2
1,20150373A,AA231,2
1,20150373A,AA232,2
1,20150373A,AA234,2
1,20160222F,FS145,2
1,20142580A,AA233,2
1,20142580A,SA323,2
1,20100213K,XP100,1
