enterga,codcur,codalu,nveces,codperiodo,codcar
1,CC361,20162208K,2,2019I,N6
1,CM254,20121212C,2,2019I,N6
1,CM211,20140508A,2,2019I,N6
1,CM274,20102652A,2,2019I,N6
1,CC541,20111320H,2,2019I,N6
1,CC262,20151508H,2,2019I,N6
1,CM211,20151380A,2,2019I,N6
1,BMA01,20180463I,2,2019I,N6
1,CC471,20140372B,2,2019I,N6
1,AHD65,20152212E,2,2019I,N6
1,BFI01,20180512J,2,2019I,N6
1,CF221,20161331C,2,2019I,N6
1,CM274,20152248J,2,2019I,N6
1,BMA01,20180447C,2,2019I,N6
1,BIC01,20180577D,2,2019I,N6
1,BFI01,20182213J,2,2019I,N6
1,CC021,20100135J,2,2019I,N6
1,AA217,20170533D,2,2019I,S1
1,AA231,20150408J,2,2019I,S1
1,FI403,20151301D,2,2019I,S1
1,SA215,20134166E,2,2019I,S1
1,SA445,20132660B,2,2019I,S1
1,SA216,20130246D,2,2019I,S1
1,BRC01,20180428I,2,2019I,S1
1,EE342,20094159C,2,2019I,S1
1,AHD65,19961158K,2,2019I,S1
1,AS870,20144049A,2,2019I,S1
1,BMA01,20171599I,2,2019I,S1
1,EC122,20102568K,2,2019I,S1
1,EC717,20124112J,2,2019I,S1
1,SA446,20091049B,2,2019I,S1
1,AA232,20052148C,2,2019I,S1
1,BMA03,20180550I,2,2019I,S1
1,AA232,19781845J,2,2019I,S1
1,SA413,20164146B,2,2019I,S1
1,FI403,20142580A,2,2019I,S1
1,MA143,20121278D,2,2019I,S1
1,SA312,20160465F,2,2019I,S1
1,AA233,19952246H,2,2019I,S1
1,EC717,20090261H,2,2019I,S1
1,AHD65,19972234E,2,2019I,S1
1,SA445,20112175A,2,2019I,S1
1,AA222,20172229K,2,2019I,S1
1,AA217,20150288D,2,2019I,S1
1,AA214,20172706C,2,2019I,S1
1,SA215,20142187H,2,2019I,S1
1,AA226,20162620I,2,2019I,S1
1,SA445,20050388G,2,2019I,S1
1,AA214,20172730A,2,2019I,S1
1,SA215,20130371C,2,2019I,S1
1,AA232,20164150J,2,2019I,S1
1,SA425,20151402E,2,2019I,S1
1,SA413,20160382C,2,2019I,S1
1,AA226,20160715B,2,2019I,S1
1,AS870,20031293D,2,2019I,S1
1,BMA03,20180573I,2,2019I,S1
1,FS145,20151324D,2,2019I,S2
1,BMA01,20182247A,2,2019I,S2
1,GA133,20002601F,2,2019I,S2
1,DS111,20161446E,2,2019I,S2
1,AA212,20160575F,2,2019I,S2
