id,"Código
Curso",codalu,"N° Total de
Repeticiones",cosperidod
1,CQ341,20132714E,2,2018II
1,CH061,20120434B,2,2018II
1,CM334,20120434B,2,2018II
1,CC541,20082673I,2,2018II
1,CF221,20160271G,2,2018II
1,CF302,20120461J,2,2018II
1,CC066,20110335A,2,2018II
1,CF221,20142212B,2,2018II
1,CM261,20160745I,2,2018II
1,CM142,20130470A,2,2018II
1,CC101,20132608K,3,2018II
1,CM142,20132608K,2,2018II
1,IF451,20120454C,2,2018II
1,CF371,20141148I,2,2018II
1,CF221,20154087C,2,2018II
1,CM361,20031123A,2,2018II
1,CC101,19791452K,8,2018II
1,CF221,20162224F,2,2018II
1,CM131,20172740G,2,2018II
1,CM141,20172740G,2,2018II
1,CH061,20111334I,2,2018II
1,CM313,20021185D,2,2018II
1,CM131,20172723E,2,2018II
1,CM214,20142699I,2,2018II
1,CM132,20172230I,2,2018II
1,CF121,20171594G,2,2018II
1,CM141,20171594G,2,2018II
1,CF582,19972195J,2,2018II
1,CQ232,20121346J,2,2018II
1,CQ362,20121346J,2,2018II
1,CF221,20151380A,2,2018II
1,CQ013,20094516K,2,2018II
1,CQ037,20094516K,2,2018II
1,CH061,20030307A,2,2018II
1,CQ341,20120485F,2,2018II
1,CF121,20172747A,2,2018II
1,CM131,20172747A,2,2018II
1,CM211,20150451B,2,2018II
1,CF121,20161413J,2,2018II
1,CQ111,20161413J,2,2018II
1,CC102,19992147K,2,2018II
1,CM254,19992147K,2,2018II
1,CC481,20101205A,2,2018II
1,CF221,20150497B,2,2018II
1,CC102,20170333E,2,2018II
1,CQ331,20141417J,2,2018II
1,CF121,20162704H,2,2018II
1,CF452,20050242B,4,2018II
1,CC212,20102198I,2,2018II
1,CF221,20164119E,2,2018II
1,CM313,20122652G,2,2018II
1,CF452,19980293G,4,2018II
1,CF221,20160451E,2,2018II
1,CF122,20152225J,2,2018II
1,CM261,20152225J,2,2018II
1,CC102,20162243K,2,2018II
1,CQ341,20070390G,2,2018II
1,CF221,20152704E,2,2018II
1,CM141,20172761D,2,2018II
1,CC541,20114535E,2,2018II
1,CQ111,20171613A,2,2018II
1,CQ332,20010332K,2,2018II
1,CC102,20142704B,2,2018II
1,CC101,20161486G,2,2018II
1,CM131,20161486G,2,2018II
1,IF482,20147510A,2,2018II
1,CC102,20142708H,2,2018II
1,CC101,19784121B,2,2018II
1,CC102,20150259D,2,2018II
1,CF401,20111333B,2,2018II
1,IF271,20111333B,2,2018II
1,CM141,20171571G,2,2018II
1,CF122,20162195F,2,2018II
1,CM577,19900702B,2,2018II
1,IF563,20122688A,2,2018II
1,CF121,20172752E,2,2018II
1,CF121,20170631F,2,2018II
1,CC101,20170587G,2,2018II
1,CF121,20171608H,2,2018II
1,CF581,20132640A,2,2018II
1,IF321,20131475G,2,2018II
1,CF581,20131495H,2,2018II
1,CC212,20151480F,2,2018II
1,CF121,20171413B,2,2018II
1,CF222,20010208H,2,2018II
1,CM254,20142734I,2,2018II
1,CM214,20142709D,2,2018II
1,CF222,20152716C,2,2018II
1,CF221,20112161K,2,2018II
1,CF222,20142645F,2,2018II
1,CM214,20142645F,2,2018II
1,CC201,20131479B,2,2018II
1,CF221,20100411G,2,2018II
1,CQ252,20100411G,2,2018II
1,CM211,20150539G,2,2018II
1,CQ251,20150539G,2,2018II
1,CQ111,20171616K,2,2018II
1,CF221,20152720K,2,2018II
1,CC102,20161440G,2,2018II
1,CM321,20140382H,2,2018II
1,CM361,20140382H,2,2018II
1,FI403,20141475J,2,2018II
1,FS145,20164059B,2,2018II
1,FS145,20142735E,2,2018II
1,AA231,20150355C,2,2018II
1,AA223,20151467J,2,2018II
1,AA232,20151467J,2,2018II
1,AA217,20170533D,2,2018II
1,AA222,20170533D,2,2018II
1,AA223,20170533D,2,2018II
1,AA226,20170533D,2,2018II
1,AA217,19991348B,9,2018II
1,EC115,19991348B,2,2018II
1,FI403,19991348B,2,2018II
1,SA323,19991348B,2,2018II
1,SA333,20150408J,2,2018II
1,HH221,20152173J,2,2018II
1,AA231,20101238G,2,2018II
1,FI403,20101238G,2,2018II
1,PI111,20101238G,2,2018II
1,MA143,20127035F,2,2018II
1,EC122,20131406E,2,2018II
1,HH223,20131406E,2,2018II
1,EP305,20120019E,2,2018II
1,AA231,20162205A,2,2018II
1,EP305,20150196B,2,2018II
1,SA332,20131210C,2,2018II
1,BO112,20135505H,2,2018II
1,FI403,20132662E,2,2018II
1,GA163,20102125A,2,2018II
1,AA212,20160575F,2,2018II
1,AA211,20170044C,2,2018II
1,SA515,20074041G,2,2018II
1,FI403,20160514G,2,2018II
1,EE344,20041272J,2,2018II
1,MA085,20041272J,2,2018II
1,AS141,20101250G,2,2018II
1,EP305,20101250G,2,2018II
1,SA115,19961158K,12,2018II
1,HH221,20151383K,2,2018II
1,SA332,20151383K,2,2018II
1,AA211,20174134G,2,2018II
1,AA212,20174134G,2,2018II
1,AA226,20160727K,2,2018II
1,AA224,20161430A,2,2018II
1,SA332,20150359I,2,2018II
1,AA231,20154547D,2,2018II
1,HH221,20132061A,2,2018II
1,XP100,20122629E,1,2018II
1,XP100,20122629E,1,2018II
1,AA232,20130415K,2,2018II
1,SA115,20132688D,2,2018II
1,BO112,20172213G,2,2018II
1,AA212,20170632B,2,2018II
1,AA233,20160300G,2,2018II
1,HH501,20111279H,2,2018II
1,MA143,20111279H,2,2018II
1,SP110,20111279H,2,2018II
1,SA216,20123502I,2,2018II
1,AA223,20170464B,2,2018II
1,AA224,20160582B,2,2018II
1,AHD93,20090370A,2,2018II
1,SA654,20090370A,2,2018II
1,SA746,20090370A,2,2018II
1,EC717,20110262D,2,2018II
1,AS121,20142680F,2,2018II
1,BO112,20142680F,2,2018II
1,AA231,20150373A,2,2018II
1,AA232,20150373A,2,2018II
1,AA234,20150373A,2,2018II
1,FS145,20160222F,2,2018II
1,AA233,20142580A,2,2018II
1,SA323,20142580A,2,2018II
1,XP100,20100213K,1,2018II
1,XP100,20100213K,1,2018II
1,FI403,20152115J,2,2018II
1,MA143,20152115J,2,2018II
1,FS145,20167013C,2,2018II
1,SA216,20080078F,5,2018II
1,MA143,20121278D,2,2018II
1,SA332,20162256E,2,2018II
1,AA226,20152683H,2,2018II
1,FS145,20151203B,2,2018II
1,HH221,20151203B,2,2018II
1,AA223,20174145I,2,2018II
1,FS145,20152661D,2,2018II
1,HH221,20152661D,2,2018II
1,AA223,20170388D,2,2018II
1,EE342,20120251E,2,2018II
1,SA216,20120251E,2,2018II
1,EC717,20112175A,2,2018II
1,AA233,20140392C,2,2018II
1,EC115,20140392C,2,2018II
1,AA223,20174144B,2,2018II
1,AA222,20172229K,2,2018II
1,SA216,20110203H,2,2018II
1,SA633,20110203H,2,2018II
1,AA231,20160531I,2,2018II
1,AA231,20160752E,2,2018II
1,SA413,20150312B,2,2018II
1,FS145,20154166K,2,2018II
1,AA217,20150288D,2,2018II
1,AA226,20150288D,2,2018II
1,AA214,20172706C,2,2018II
1,XA100,20132555D,1,2018II
1,XA100,20132555D,1,2018II
1,SA216,20100104G,2,2018II
1,DS111,20161374D,2,2018II
1,AA231,20162620I,2,2018II
1,AA234,20162620I,2,2018II
1,AA226,20162202B,2,2018II
1,AA214,20172730A,2,2018II
1,SA745,19972213H,5,2018II
1,SA132,20102124E,2,2018II
1,SA446,20102124E,2,2018II
1,FI403,20142747C,2,2018II
1,SA323,20142747C,2,2018II
1,SA324,20120244I,2,2018II
1,AA224,20161379F,2,2018II
1,AA227,20161379F,2,2018II
1,AA232,20161379F,2,2018II
1,AA212,20173006E,2,2018II
1,AA213,20173006E,2,2018II
1,AS101,20173006E,2,2018II
1,DS111,20120350C,2,2018II
1,HH221,20120350C,2,2018II
1,EP305,20102673I,2,2018II
1,SA332,20102673I,2,2018II
1,HH221,20152216K,2,2018II
1,SA332,20152216K,2,2018II
1,AA226,20153503C,2,2018II
1,EC311,20021284B,3,2018II
1,SA467,20042163J,2,2018II
1,SA923,20042163J,2,2018II
1,HH223,20140487D,2,2018II
1,SA333,20140487D,2,2018II
1,AA226,20151297G,2,2018II
1,AS141,20151297G,2,2018II
1,EC717,20120248D,2,2018II
1,SA216,20120248D,2,2018II
1,AA217,20170604I,2,2018II
1,EC717,20140387J,2,2018II
1,SA333,20164150J,2,2018II
1,XP100,20110230E,1,2018II
1,XP100,20110230E,1,2018II
1,AS152,20132109D,2,2018II
1,AA212,20170551B,2,2018II
1,AS121,20170551B,2,2018II
1,SA301,20170551B,2,2018II
1,EC717,20101208K,2,2018II
1,FI403,20032199A,2,2018II
1,HH221,20032199A,2,2018II
1,PI111,20032199A,2,2018II
1,AA231,20161385F,2,2018II
1,SA332,20150531F,2,2018II
1,FI403,20142169J,2,2018II
1,HH221,20142169J,2,2018II
1,FS145,20162201F,2,2018II
